username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-08-12 05:28;32;24;"Cops harassing photojournalists & getting salty at @ JFREJNYC # BlackLivesMatter march for # TishaBAv!pic.twitter.com/TI9AM2kyWh";;@;# #;"763887412791631878";https://twitter.com/AshAgony/status/763887412791631878
;2016-08-12 05:15;32;42;"Jews of color leading a # BlackLivesMatter March in NYC for # TishaBAv!pic.twitter.com/DpOOc0ATfi";;;# #;"763884135370911744";https://twitter.com/AshAgony/status/763884135370911744
;2016-08-12 05:15;50;69;"# BlackLivesMatter goes global http://nbcnews.to/2b0tTuo via @ NBCBLKpic.twitter.com/iyT7A0nx4L";;@;#;"763883979728642050";https://twitter.com/NBCNews/status/763883979728642050
;2016-08-12 05:02;69;114;""No more racist police!" - Jews of color lead # BlackLivesMatter march for # TishaBAv in NYC!pic.twitter.com/pxNcCYlMyw";;;# #;"763880699963277313";https://twitter.com/AshAgony/status/763880699963277313
;2016-08-12 04:56;19;22;"Jews of color will lead @ JFREJNYC # BlackLivesMatter March for # TishaBAv!pic.twitter.com/ElaxfcUR8p";;@;# #;"763879414216155136";https://twitter.com/AshAgony/status/763879414216155136
;2016-08-12 04:46;11;28;"We are here to say # BlackLivesMatter. Black Jews matter. We are united in struggle. We will not be divided. -April Baskin # Jews4BlackLives";;;# #;"763876891753345024";https://twitter.com/simonerzim/status/763876891753345024
;2016-08-12 04:21;18;31;"Breaking: 500+ librarians/archivists affirm our role in supporting # BlackLivesMatter at http://criticalLIS.com Thank you # NDLC16 # critlib";;;# # #;"763870579002793985";https://twitter.com/safiyanoble/status/763870579002793985
;2016-08-12 04:00;41;39;"Why # BlackLivesMatter in Your Classroom Too by @ MisterMinor http://hubs.ly/H03Z_SJ0 pic.twitter.com/shejr4q0zQ";;@;#;"763865094946250752";https://twitter.com/HeinemannPub/status/763865094946250752
;2016-08-12 03:37;268;575;"For anti-racist white folks unsure of our role in putting # BlackLivesMatter into practice -- a story & some ideas: pic.twitter.com/ak84wV3xH2";;;#;"763859403464404992";https://twitter.com/iansmadrig/status/763859403464404992
;2016-08-12 03:31;13;22;"The Weeknd donates $250K to # BlackLivesMatter movement http://bit.ly/2b22om4 pic.twitter.com/ewcxtvuKjB";;;#;"763857877870137345";https://twitter.com/newsone/status/763857877870137345
;2016-08-12 02:55;33;23;"Solidarity w/ our Ethiopian brothers/sisters resisting US-backed violence from their government. # BlackLivesMatter https://twitter.com/ajplus/status/763574307729514496 …";;;#;"763848854294978560";https://twitter.com/Delo_Taylor/status/763848854294978560
;2016-08-12 02:45;11;29;"The Weeknd has donated 250,000 to # blacklivesmatter http://ow.ly/I4FU3039Ddq";;;#;"763846242162053120";https://twitter.com/BlackYouthProj/status/763846242162053120
;2016-08-12 02:37;47;226;"# BlackLivesMatter and # PineappleDoesGoOnPizza";;;# #;"763844187020222465";https://twitter.com/elsajustelsa/status/763844187020222465
;2016-08-12 02:06;14;25;"Why is there still an # BlackLivesMatter emoji on Twitter? pic.twitter.com/xHZMtmWiF9";;;#;"763836583787233280";https://twitter.com/PoliticalCow/status/763836583787233280
;2016-08-12 00:51;152;115;"# KorrynGaines mother, Rhanda Dormeus and cousin, Creo Brady address media after Homegoing. RIP # BlackLivesMatter pic.twitter.com/MnMkutYxEw";;;# #;"763817613025767424";https://twitter.com/GilliamReport/status/763817613025767424
;2016-08-12 00:19;15;24;"Praises for young revolutionary fems leading @ BLMChiYouth http://bit.ly/2aPgmH5 # pauloneal # BlackLivesMatter pic.twitter.com/hOCdCECk4a";;@;# #;"763809643156107268";https://twitter.com/misstraknowit/status/763809643156107268
;2016-08-12 00:06;33;49;"Peep Track Speech #2 # BlackLivesMatter pic.twitter.com/ro1orezTze";;;#2 #;"763806318712926208";https://twitter.com/MrChuckD/status/763806318712926208
;2016-08-12 00:06;42;78;"# SolidarityIs declaring the # BlackLivesMatter, even while your own Sikh and South Asian communities are under attack pic.twitter.com/a0r7ypbTlI";;;# #;"763806218011959297";https://twitter.com/SikhProf/status/763806218011959297
;2016-08-11 23:43;64;67;"African Americans stand in solidarity with @ ukblm because # BlackLivesMatter everywhere! pic.twitter.com/cJotS6Pt4C";;@;#;"763800526035312640";https://twitter.com/330Kingish/status/763800526035312640
;2016-08-11 23:29;32;63;"# SolidarityIs being a Latina women fighting alongside my brothers and sisters to demand that # BlackLivesMatter pic.twitter.com/KJpqRsef5J";;;# #;"763796973531037696";https://twitter.com/msladyjustice1/status/763796973531037696
;2016-08-11 23:17;23;28;"Seattle's # BlackLivesMatter March Honoring Anniversary Of Michael Brown's Death. # StopMurderousCops # EndRacismpic.twitter.com/yN9K8y7tlR";;;# # #;"763793935122567168";https://twitter.com/relombardo3/status/763793935122567168
;2016-08-11 22:55;17;22;"# BlackLivesMatter # BlockTheBunkerpic.twitter.com/wKhbyLONmk";;;# #;"763788404051947520";https://twitter.com/zachhaller/status/763788404051947520
;2016-08-11 22:41;12;29;"# BlackLivesMatter Benefit show @ TheSecondCity 100% proceeds go to # BLM # onenightonlypic.twitter.com/dZ8nUeFxWq";;@;# # #;"763784903980965889";https://twitter.com/peterkz/status/763784903980965889
;2016-08-11 22:35;525;459;"Be the first to dog your sister or your queen but get mad when others do it! Do # BlackLivesMatter to us? pic.twitter.com/7SIpKy89Zg";;;#;"763783381276499969";https://twitter.com/workwthecoach/status/763783381276499969
;2016-08-11 22:10;24;22;"Why # BlackLivesMatter in Your Classroom Too by @ MisterMinor http://hubs.ly/H03-0tS0 pic.twitter.com/THJoIaJfWq";;@;#;"763777006106542081";https://twitter.com/HeinemannPub/status/763777006106542081
;2016-08-11 21:56;25;52;"The Weeknd donated $250,000 to # BlackLivesMatter http://bit.ly/2aOVakK pic.twitter.com/iLYlCzeOof";;;#;"763773480634572800";https://twitter.com/mic/status/763773480634572800
;2016-08-11 21:38;17;31;"!!! Black Women Artists for # BlackLivesMatter at @ newmuseum on 9/1: http://www.newmuseum.org/calendar/view/1061/black-women-artists-for-black-lives-matter … @ deraypic.twitter.com/2Ayz9MS34s";;@ @;#;"763769020143247360";https://twitter.com/museummammy/status/763769020143247360
;2016-08-11 21:20;34;26;"Life Insurance Company Director, Corey Multer fired for threatening # BlackLivesMatter activist on FB. # IntelGrouphttp://www.theroot.com/articles/news/2016/08/new-york-life-insurance-corey-multer-shanelle-matthews-facebook/ …";;;# #;"763764494120214528";https://twitter.com/Delo_Taylor/status/763764494120214528
;2016-08-11 21:15;160;187;"The LA Chapter of # BlackLivesMatter have been outside the City Hall bc they want LAPD Chief Charlie Beck fired. pic.twitter.com/AvC4T723nI";;;#;"763763263330852864";https://twitter.com/TheRoot/status/763763263330852864
;2016-08-11 21:00;29;36;". @ NewYorkLife fires director # CoreyMulter after racist message to # BlackLivesMatter activist http://buff.ly/2aJvrZ5 pic.twitter.com/gMbuBnyF1M";;@;# #;"763759411026337792";https://twitter.com/TheRoot/status/763759411026337792
;2016-08-11 20:42;24;23;"Ignore Media & Polls! Remember Michigan! # Blacklivesmatter # Itrusthillary # ImWithHer # NeverTrumppic.twitter.com/X0NhbNe42d";;;# # # #;"763754873779126272";https://twitter.com/CAGoldenBear/status/763754873779126272
;2016-08-11 20:38;23;40;"Had to speak my piece. # SoGoneChallenge # BlackLivesMatter pic.twitter.com/79pUnZvAGt";;;# #;"763754065977348096";https://twitter.com/3DIntellect/status/763754065977348096
;2016-08-11 20:37;14;30;"For all of you "all lives matter" fanatics # BlackLivesMatter https://twitter.com/_benjvmins_/status/755182566085230593 …";;;#;"763753685696471041";https://twitter.com/its_tyrababy/status/763753685696471041
;2016-08-11 20:32;37;87;". @ TheWeeknd donates $250k to # BlackLivesMatter http://thr.cm/6R0gYg pic.twitter.com/B5Cb6SHccF";;@;#;"763752497538367488";https://twitter.com/THR/status/763752497538367488
;2016-08-11 20:21;78;130;". @ theweeknd donates a nice chunk of change to # BlackLivesMatter http://trib.al/6AC8fNK pic.twitter.com/UKUQmc0klC";;@;#;"763749759769309184";https://twitter.com/XXL/status/763749759769309184
;2016-08-11 20:06;72;149;"The Weeknd put his money where his mouth is and donated $250k to # BlackLivesMatter: http://buff.ly/2b7OwoM pic.twitter.com/16ME9HMsPf";;;#;"763745979514302464";https://twitter.com/TheRoot/status/763745979514302464
;2016-08-11 20:06;25;37;"The Weeknd just made a huge donation to # BlackLivesMatter http://bit.ly/2aJqPCd pic.twitter.com/saZXzCzvD0";;;#;"763745848631123968";https://twitter.com/GlobalGrind/status/763745848631123968
;2016-08-11 19:31;51;37;"# BlackLivesMatter founder says, "Clintons use black people for votes." http://dailycaller.com/2016/08/04/blm-leader-says-clintons-only-use-blacks-for-photo-ops/ … # NeverHillary";;;# #;"763737091553525764";https://twitter.com/ScottPresler/status/763737091553525764
;2016-08-11 19:24;108;89;"Caption this # blacklivesmatter pic.twitter.com/QfBj6mhPIQ";;;#;"763735264250433536";https://twitter.com/HBCUBuzz/status/763735264250433536
;2016-08-11 19:20;47;43;". @ AadamMuuse talks about Friday's # SHUTDOWN & how @ UKBLM was born out of liberation not imitation: http://www.independent.co.uk/student/istudents/black-lives-matter-protests-nus-students-uk-london-manchester-whitechapel-demo-march-a7184906.html … # BlackLivesMatter";;@ @;# #;"763734263854489600";https://twitter.com/MaliaBouattia/status/763734263854489600
;2016-08-11 19:15;17;22;"next monday, i'm getting these influential folk together to chat # blacklivesmatter http://blrrm.tv/blm-uk pic.twitter.com/7UeFJ2QaDD";;;#;"763733200690700292";https://twitter.com/errol_and/status/763733200690700292
;2016-08-11 19:07;65;69;"By the logic of your cartoon, @ GoalUK, # BlackLivesMatter is harmed by a young black athlete committed to excellence. pic.twitter.com/hrO4MPQ8Zp";;@;#;"763731152205119488";https://twitter.com/Okwonga/status/763731152205119488
;2016-08-11 18:31;43;87;"Last week, he donated $50K to get an Ethiopian Studies program going. This week, $250k to # BlackLivesMatter. pic.twitter.com/9UrYGWgkIs";;;#;"763721925038342144";https://twitter.com/elamin88/status/763721925038342144
;2016-08-11 18:10;43;22;"DOJ Report: Details - Blacks in Baltimore live under Police Occupation. No rights & constant fear # Blacklivesmatter pic.twitter.com/3d7iamz37e";;;#;"763716755818766340";https://twitter.com/trueblackresist/status/763716755818766340
;2016-08-11 18:09;20;28;"Which side are you on? # OurVisionOrTheirs # blacklivesmatter pic.twitter.com/zxqsjvmgEX";;;# #;"763716575153315840";https://twitter.com/IfNotNowOrg/status/763716575153315840
;2016-08-11 17:40;25;24;"We call a nationwide # Shutdown because # BlackLivesMatter, because this is a crisis. 05.08016 pic.twitter.com/cHP2RrT4Rv";;;# #;"763709249344139264";https://twitter.com/uniqueloves/status/763709249344139264
;2016-08-11 17:13;33;21;"The # BlackLivesMatter UK movement is about liberation - not imitation, writes @ AadamMuuse http://ind.pn/2aIX1pg pic.twitter.com/a6gv5gQvIw";;@;#;"763702257510707200";https://twitter.com/IndyStudents/status/763702257510707200
;2016-08-11 17:08;16;26;"I think an employee at Twitter has gone rogue... look at the autocomplete for # BlackLivesMatter right now! pic.twitter.com/Z530slOIJA";;;#;"763701122653491200";https://twitter.com/realS4T/status/763701122653491200
;2016-08-11 16:44;25;25;"# BlackLivesMatter Turns Spotlight On How Police Unions Shield Bad Cops http://www.huffingtonpost.com/entry/black-lives-matter-police-unions_us_57912c8ee4b0bdddc4d3c044 …";;;#;"763695014664822786";https://twitter.com/NewBlackMan/status/763695014664822786
;2016-08-11 15:38;202;204;"UPDATE: MULTIPLE # BlackLivesMatter Gunmen Shot at Car of BLACK WOMAN at Ferguson Protest. http://theralphretort.com/update-multiple-blm-gunmen-shot-car-black-woman-ferguson-protest-8011016/ …";;;#;"763678535152050176";https://twitter.com/PrisonPlanet/status/763678535152050176
;2016-08-11 15:05;35;45;"# BlackLivesMatter doesn't challenge racial thinking, it embraces it, writes Brendan O'Neill. http://www.spiked-online.com/newsite/article/the-problem-with-black-lives-matter/18643#.V6xGdjXuPfY …pic.twitter.com/JG7KISjNXA";;;# #;"763670285426036736";https://twitter.com/spikedonline/status/763670285426036736
;2016-08-11 14:30;66;135;"After a gift to The University of Toronto, @ theweeknd gives $250,000 to # BlackLivesMatter. http://www.thefader.com/2016/08/10/the-weeknd-donate-black-lives-matter …pic.twitter.com/m2Qvj34uwH";;@;#;"763661326367412225";https://twitter.com/thefader/status/763661326367412225
;2016-08-11 11:29;98;113;". @ NewYorkLife fires director # CoreyMulter after his racist, violent FB message to # BlackLivesMatter activist: http://www.theroot.com/articles/news/2016/08/new-york-life-insurance-corey-multer-shanelle-matthews-facebook/ …";;@;# #;"763615912935116800";https://twitter.com/TheRoot/status/763615912935116800
;2016-08-11 11:15;39;30;"if she got # BlackLivesMatter in her bio I'm tearing that pussy up";;;#;"763612227492536321";https://twitter.com/threesixmobss/status/763612227492536321
;2016-08-11 10:18;355;493;"Author Chimamanda Ngozi Adichie discusses # BlackLivesMatter and race in America. https://amp.twimg.com/v/e06681f3-57fe-4750-bf82-982a066ea3ad …";;;#;"763597893789818880";https://twitter.com/ajplus/status/763597893789818880
;2016-08-11 09:12;108;80;"So # GabbyDouglas is disrespectful & America is OUTRAGED but # DonaldTrump should b # POTUS? SMH! # BlackLivesMatter pic.twitter.com/zteutZgWOH";;;# # # #;"763581247104876545";https://twitter.com/TalbertSwan/status/763581247104876545
;2016-08-11 09:09;39;27;"# RETWEET NEW MUSIC @IconEdge Joey Gultry # WarZone # BlackLivesMatter # AllLivesMatter # PoliceBrutality # WarZone https://www.youtube.com/watch?v=UiKs6O4O3y4 …";;@IconEdge;# # # # # #;"763580643980738564";https://twitter.com/SamanthaCartel/status/763580643980738564
;2016-08-11 07:53;23;33;"Department of Justice report on policing bias in Baltimore. # BlackLivesMatter @ NewsHourhttps://youtu.be/AN0zYH8dpxU";;@;#;"763561371023839232";https://twitter.com/Welcom2TheGrind/status/763561371023839232
;2016-08-11 07:07;26;81;"# BlackVotesMatter ...couldn't resist since # Trump & # Guiliani can't bring themselves to say # BlackLivesMatter http://fivethirtyeight.com/features/trump-is-in-fourth-place-among-black-voters/ …";;;# # # #;"763549981294723076";https://twitter.com/JasonWGeorge/status/763549981294723076
;2016-08-11 06:26;116;182;"American can kiss goodbye to its falling crime rates. https://www.washingtonpost.com/local/public-safety/baltimore-officials-justice-department-promises-sweeping-overhaul-of-city-police/2016/08/10/f022ded2-5e72-11e6-8e45-477372e89d78_story.html … Thanks # BlackLivesMatter !";;;#;"763539672723140608";https://twitter.com/PrisonPlanet/status/763539672723140608
;2016-08-11 06:04;19;52;"The Weeknd just donated $250,000 to # BlackLivesMatter: http://jus.tj/1f9d pic.twitter.com/GYr9AdTjVk";;;#;"763534091727798273";https://twitter.com/JustJared/status/763534091727798273
