username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-08-11 05:17;14;23;"# NDLC16 @ readingspark assigns # BlackLivesMatter readings to her LIS classes pic.twitter.com/ofD4lKbVuq";;@;# #;"763522065555005440";https://twitter.com/NDLC16/status/763522065555005440
;2016-08-11 05:10;14;23;"should LIS take more proactive role in preparing librarians to confront current social issues (eg # BlackLivesMatter) @ rchancell # NDLC16";;@;# #;"763520550509477888";https://twitter.com/mchris4duke/status/763520550509477888
;2016-08-11 04:41;104;77;"# BlackLivesMatter making millions of off what # Ferguson started and left our city out to dry.....pic.twitter.com/TB0ZQBy7fU";;;# #;"763513194472017920";https://twitter.com/KingDSeals/status/763513194472017920
;2016-08-11 04:38;147;120;"I didn't know youre a man when youre 14 y/o.They need to stop with their lame excuses # BlackLivesMatter # JesseRomeropic.twitter.com/8aRh6IWoRJ";;;# #;"763512370106867712";https://twitter.com/adoresguk/status/763512370106867712
;2016-08-11 04:37;598;1649;"Hope you all enjoyed that periscope!! # MuslimLivesMatter # BlackLivesMatter";;;# #;"763512216566063104";https://twitter.com/omgAdamSaleh/status/763512216566063104
;2016-08-11 04:34;63;126;"Debunking # BlackLivesMatter lies case-by-case. Because truth. Is that still a thing? >> http://youtube.com/watch?v=hEhUP4097JM …pic.twitter.com/gKgUTBEeGl";;;#;"763511435594960896";https://twitter.com/scrowder/status/763511435594960896
;2016-08-11 04:09;36;44;"You know how I know that # Blacklivesmatter people care about ALL people? They're how I found out about # JeremyMardis";;;# #;"763504999674499072";https://twitter.com/jeremymcnabb/status/763504999674499072
;2016-08-11 04:04;11;27;"This shit is real. They want us controlled, intimidated, and dead. This isn't hype or a fad. This is my fucking life. # Blacklivesmatter";;;#;"763503869015957504";https://twitter.com/MyFatherIsWhite/status/763503869015957504
;2016-08-11 03:42;262;205;"# DonnellThompson # BlackLivesMatter https://twitter.com/i/moments/763478811501408260 …";;;# #;"763498218382557185";https://twitter.com/samwhiteout/status/763498218382557185
;2016-08-11 03:33;37;103;"The Weeknd donates $250k to # blacklivesmatter: http://bit.ly/2b94qn0 pic.twitter.com/466auFTFcq";;;#;"763495916242210820";https://twitter.com/i_D/status/763495916242210820
;2016-08-11 02:37;26;21;"His name was # jesseromero he was 14. # BlackLivesMatter this is not over until we win. @ ananyaUCLA @ Fusion @ REMEZCLA http://fw.to/sKKbFEE";;@ @ @;# #;"763481884236087296";https://twitter.com/crojasphd/status/763481884236087296
;2016-08-11 02:29;18;51;"Civil rights activist/ # BlackLivesMatter leader @ deray reacts to DOJ # BaltimorePolice report: "I think change will come." @ fox5dc at 5/6";;@ @;# #;"763479815227924481";https://twitter.com/LindsayAWatts/status/763479815227924481
;2016-08-11 02:16;15;22;"Calling # NDLC16 friends and colleagues, the statement in support of # BlackLivesMatter is at http://criticalLIS.com , signed by nearly 500!";;;# #;"763476534292275200";https://twitter.com/safiyanoble/status/763476534292275200
;2016-08-11 02:12;41;45;"Add "sleeping" to the long list of reasons POC get killed. rest in power # donnellthompson # BlackLivesMatter";;;# #;"763475625004847104";https://twitter.com/yesmaamber/status/763475625004847104
;2016-08-11 02:07;49;32;"OUTRAGEOUS. ‘terribly devastating event’: Black man killed by SWAT team was innocent officials say https://www.washingtonpost.com/news/morning-mix/wp/2016/08/10/a-terribly-devastating-event-black-man-killed-by-swat-team-was-innocent-officials-say/?postshare=3781470843368375&tid=ss_tw … # BlackLivesMatter";;;#;"763474302515679232";https://twitter.com/lsarsour/status/763474302515679232
;2016-08-11 01:58;14;68;"Loving these # BlackLivesMatter stickers @ VPoltrack made for @ google & our Black Googler Network! # solidaritypic.twitter.com/D9jE6fLU9f – bei Google - Tech Corners";;@ @;# #;"763471997120622592";https://twitter.com/nataliaenvy/status/763471997120622592
;2016-08-11 01:45;36;35;"On Thursday: What do you think of # BlackLivesMatter accusing Israel of "apartheid" & "genocide" in Palestine? # M4BLpic.twitter.com/5xDBkBe4Ro";;;# #;"763468776889253888";https://twitter.com/AJStream/status/763468776889253888
;2016-08-11 01:45;44;87;"The Weeknd Donates $250,000 To # BlackLivesMatter http://bit.ly/2bh5TIA pic.twitter.com/oSzeABUQhO";;;#;"763468736443609088";https://twitter.com/papermagazine/status/763468736443609088
;2016-08-11 01:37;23;30;". @ DavidAFrench: " # BlackLivesMatter anti-apartheid/white supremacy/imperialist messsge has no place in our discourse" pic.twitter.com/7hUe723F0e";;@;#;"763466912181395456";https://twitter.com/Delo_Taylor/status/763466912181395456
;2016-08-11 01:28;86;40;"This is so horrible and sad. # DonnellThompson # BlackLivesMatter https://www.washingtonpost.com/news/morning-mix/wp/2016/08/10/a-terribly-devastating-event-black-man-killed-by-swat-team-was-innocent-officials-say/ …";;;# #;"763464603862835200";https://twitter.com/Kofimagne/status/763464603862835200
;2016-08-11 01:26;20;30;"# MaliaObama smoking weed Non-Story. Wait until her Dad is out of Office & she tells Racist what she really thinks of them # blacklivesmatter";;;# #;"763464125800443904";https://twitter.com/trueblackresist/status/763464125800443904
;2016-08-11 01:22;87;64;"They've admitted that they MURDERED # DonnellThompson and I bet you they will still won't suffer any consequences # BlackLivesMatter";;;# #;"763462963873386496";https://twitter.com/Cocadami/status/763462963873386496
;2016-08-11 01:21;1591;1004;"2 weeks ago LAPD said # DonnellThompson was a "suspect" now admit he was innocent. killed by Cops # Blacklivesmatter pic.twitter.com/uyqAmDXQZ2";;;# #;"763462906814029824";https://twitter.com/trueblackresist/status/763462906814029824
;2016-08-11 00:49;143;97;"Felon with white pride facial tattoos shoots Oregon cop. Silence from Trump & # Alllivesmatter # Blacklivesmatter pic.twitter.com/eNxpOApnpq";;;# #;"763454687618007040";https://twitter.com/trueblackresist/status/763454687618007040
;2016-08-11 00:45;13;32;"Thank you @ ReconcilingWrks for your message of # BlackLivesMatter at # elcacwa. Intersectionality at its best.";;@;# #;"763453799058976768";https://twitter.com/rozellahw/status/763453799058976768
;2016-08-11 00:34;27;55;"last week the weeknd donated $50K for an ethiopic studies program at U of T, this week $250K to # BlackLivesMatter http://www.thefader.com/2016/08/10/the-weeknd-donate-black-lives-matter …";;;#;"763451083100397569";https://twitter.com/tyelland/status/763451083100397569
;2016-08-11 00:30;357;471;"The Weeknd donated $250,000 to the # BlackLivesMatter network. http://www.thefader.com/2016/08/10/the-weeknd-donate-black-lives-matter …pic.twitter.com/DHvJganCCV";;;#;"763450082645667840";https://twitter.com/thefader/status/763450082645667840
;2016-08-11 00:30;31;33;"Dallas rap group's new song is an ode to # BlackLivesMatter -- it also sounds really dope. http://huff.to/2aM73vE pic.twitter.com/2FrPMJLKvi";;;#;"763449884515135488";https://twitter.com/blackvoices/status/763449884515135488
;2016-08-11 00:26;62;59;"Students at Claremont Colleges Refuse to Live with White People @ sjw_nonsense # BlackLivesMatter pic.twitter.com/ap8FdczLrc";;@;#;"763448849893646338";https://twitter.com/TheSafestSpace/status/763448849893646338
;2016-08-11 00:06;21;26;"Despicable. We have # BlackLivesMatter to thank for this thug. https://twitter.com/TheBuffaloNews/status/763405838153347072 …";;;#;"763443903798382592";https://twitter.com/BlueLivesMatter/status/763443903798382592
;2016-08-10 23:24;59;93;"In spite of all the hatred & unjust treatment that continues to take place, we will rise up. # BlackLivesMatter pic.twitter.com/TVaGun0lcw";;;#;"763433274203136002";https://twitter.com/destinymparker/status/763433274203136002
