username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-03-29 18:43;34;123;"Are both- @ BJP4India & @ INCIndia guilty of politicising # BalakotAirStrike & # PulwamaAttack? What about those who are demanding proofs of # AirStrike? How will the issues w/ Pak get resolved? Defence Minister @ NSitharaman answers all this in an # exclusive chat with @ NayantaraRai.pic.twitter.com/3ymHVokq1c";;@ @ @ @;# # # #;"1111617344114212864";https://twitter.com/ETNOWlive/status/1111617344114212864
;2019-03-29 15:28;87;226;"India: But JeM claimed the # PulwamaAttack within an hour. Pak: There is no Jaish-e-Mohammad in Pakistan. India: But # Pakistan just banned JeM, tookover their Bahawalpur HQs and put their kingpins in protective custody? Pak: Which Bahawalpur, What Pakistan?https://twitter.com/geonews_english/status/1111202673863335937?s=19 …";;;# #;"1111568214297698304";https://twitter.com/neelakantha/status/1111568214297698304
;2019-03-29 08:31;23;23;"Which of the following cowardice is the biggest insult to the martyrs of # PulwamaAttack ? # NyayForIndia # ChowkidarChorHai # ModiSpeaksToBharat Please Vote & RT";;;# # # #;"1111463463027703808";https://twitter.com/Mayavi101/status/1111463463027703808
;2019-03-28 20:36;12;69;"4 militants killed in Kashmir, 30 since # PulwamaAttack https://goo.gl/c7nXwj pic.twitter.com/o3S4ZcnAek";;;#;"1111283330203320320";https://twitter.com/htTweets/status/1111283330203320320
;2019-03-28 15:25;194;146;"Who was the master mind behind # PulwamaAttack ? # IndiaWithNaMo # CPIMManifesto # ModiScamCentury # SupportGaza # ShutDaFakeUp # ThursdayThoughts # PulwamaTerrorAttack";;;# # # # # # # #;"1111205066265059329";https://twitter.com/KhaleejMag/status/1111205066265059329
;2019-03-28 14:48;36;56;"Following the # PulwamaAttack, Muslims are being viciously tortured by the extremists in India, occupied Kashmir, while Pakistani inmates are also under threat. # ARYNews https://arynews.tv/en/another-pakistani-inmate-killed-indian-jail/ …";;;# #;"1111195939878961153";https://twitter.com/ARYNEWSOFFICIAL/status/1111195939878961153
;2019-03-28 13:56;73;142;"A tale of two responses: 1. Two weeks before elections, PM addresses the nation, claiming credit for a technology that existed as far back as 2010. 2. 40 soldiers are killed in a # PulwamaAttack ... PM shoots for documentary. To date has not addressed the nation on the subject. pic.twitter.com/rUC7zdorTs";;;#;"1111182876857372672";https://twitter.com/insenroy/status/1111182876857372672
;2019-03-28 13:06;80;274;"Indian stance on # MasoodAzhar couldn’t stand in their dossier,india put allegation on Pakistan and said Masood Azhar has claimed # PulwamaAttack but when pak asked them for written submissions,indian govt didn’t mention anything regarding him in submission neither provided proofs";;;# #;"1111170219052068865";https://twitter.com/mona_qau/status/1111170219052068865
;2019-03-28 11:55;12;65;"Sharing “preliminary findings” of its investigations with New Delhi, Pakistan said it had examined 22 “pin locations” shared by India but found no terror camps. # PulwamaAttack https://trib.al/OzHNNeJ";;;#;"1111152200682741760";https://twitter.com/the_hindu/status/1111152200682741760
;2019-03-28 11:02;17;43;"# PulwamaAttack: Pakistan says no terror camps exist on 22 locations shared by India; willing to allow visits on request, reports PTI pic.twitter.com/iIHeokcmep";;;#;"1111138997756223493";https://twitter.com/timesofindia/status/1111138997756223493
;2019-03-28 10:55;24;195;"# PulwamaAttack : Pakistan says no terror camps exist on 22 locations shared by India; willing to allow visits on request (PTI)";;;#;"1111137319581409280";https://twitter.com/ABPNews/status/1111137319581409280
;2019-03-28 10:31;11;58;"Pakistan told Diplomatic Community that no linkage of 54 suspects found with Pulwama Incident during investigation. No training camp found on 22 pin locations shared by India. # PulwamaAttack # india # Pakistan";;;# # #;"1111131192022237185";https://twitter.com/AdeelJavedCh/status/1111131192022237185
;2019-03-28 00:44;25;65;"Endian Dossier on # PulwamaAttack to Pakistan 1-Adil Dar...A terrorist from Pakistan....proof???Pakistan sld prove that he is not. 2-RDX Provided by JeM through ISI....Proof??? Pakistan sld prove that it did not. Dossier Concludes with Remarks. 'Pakistan a terror Sponsor State'";;;#;"1110983376201269249";https://twitter.com/CallSignMujahid/status/1110983376201269249
